title,addr_zip,size_sqft,bedrooms,bathrooms,prewar,price
323 East 21st Street #2D,10010,600,1.0,1.0,1,335000
119 East 17th Street ,10003,8400,,0.0,1,4710000
210 East 17th Street #BSMTA,10003,602,0.0,1.0,1,350000
130 East 17th Street #1A,10003,500,0.0,1.0,1,299000
310 East 23rd Street ,10010,600,,1.0,1,369000
158 East 22nd Street #2,10010,800,1.0,1.0,1,499000
235 East 22nd Street ,10010,575,,1.0,1,359000
323 East 21st Street #4M,10010,600,1.0,1.0,1,375000
310 East 23rd Street #5C,10010,550,0.0,1.0,1,359000
310 East 23rd Street #7A,10010,1000,1.0,1.0,1,660000
235 East 22nd Street #4L,10010,975,1.0,1.0,1,665000
158 East 22nd Street #2,10010,800,1.0,1.0,1,549000
200 East 16th Street #2E,10003,500,0.0,1.0,1,349000
235 East 22nd Street #8P,10010,700,1.0,1.0,1,489000
210 East 17th Street #6D,10003,500,2.0,1.0,1,350000
210 East 21st Street #5B,10010,300,0.0,1.0,1,210000
323 East 21st Street #1B,10010,647,1.0,1.0,1,455000
235 East 22nd Street #9L,10010,975,1.0,1.0,1,690000
207 East 21st Street #2B,10010,600,1.0,1.0,1,425000
235 East 22nd Street #5U,10010,500,,1.0,1,355000
379 First Avenue #3,10010,591,1.0,1.0,1,430000
235 East 22nd Street #13Q,10010,500,0.0,1.0,1,365000
242 East 19th Street #2E,10003,750,1.0,1.0,1,550000
323 E 21st Street #4D,10010,500,1.0,1.0,1,369000
323 E 21st Street #4D,10010,500,1.0,1.0,1,369000
317 East 18th Street #6D,10003,350,0.0,1.0,1,259000
317 East 18th Street #6A,10003,700,1.0,1.0,1,519000
310 East 23rd Street #5G,10010,600,0.0,1.0,1,445000
235 East 22nd Street #12L,10010,975,1.0,1.0,1,725000
310 East 23rd Street #11B,10010,600,1.0,1.0,1,450000
310 East 23rd Street #11B,10010,600,1.0,1.0,1,450000
235 East 22nd Street #14F,10010,900,1.0,1.0,1,679000
351 East 18th Street ,10003,3300,3.0,3.0,1,2495000
235 East 22nd Street #9Q,10010,525,0.0,1.0,1,399000
235 East 22nd Street #5Q,10010,530,0.0,1.0,1,405000
39A Gramercy Park North #3A,10010,400,0.0,1.0,1,309000
379 First Avenue #4,10010,600,1.0,1.0,1,425000
235 East 22nd Street #5A,10010,1250,2.0,2.0,1,970000
235 East 22nd Street #11F,10010,950,1.0,1.0,1,739000
310 East 23rd Street #4C,10010,500,,1.0,1,389900
317 East 18th Street #4A,10003,700,1.0,1.0,1,550000
205 East 22nd Street #2D,10010,1027,2.0,1.0,1,825000
235 East 22nd Street #16T,10010,820,1.0,1.0,1,645000
242 East 19th Street #8H,10003,800,1.0,1.0,1,630000
235 East 22nd Street #2G,10010,950,1.0,1.0,1,749000
310 East 23rd Street #11B,10010,600,0.0,1.0,1,475000
235 East 22nd Street #3G,10010,900,1.0,1.0,1,715000
235 East 22nd Street #4G,10010,1000,1.0,1.0,1,795000
235 East 22nd Street #8U,10010,500,,1.0,1,399000
317 East 18th Street #2C,10003,600,1.0,1.0,1,479000
205 East 16th Street #1F,10003,2150,2.0,4.0,1,1795000
310 East 23rd Street #12D,10010,744,1.0,1.0,1,599000
235 East 22nd ,10010,820,1.0,1.0,1,665000
235 East 22nd #3H,10010,900,1.0,1.0,1,730000
235 East 22nd Street #6O,10010,800,1.0,1.0,1,649000
235 East 22nd Street #2A,10010,1200,2.0,2.0,1,975000
235 East 22nd Street #14K,10010,800,1.0,1.0,1,650000
235 East 22nd Street #8L,10010,975,1.0,1.0,1,795000
235 East 22nd Street #12Q,10010,500,0.0,1.0,1,409000
206 East 20th Street ,10003,3300,,0.0,1,2700000
130 East 17th Street #4B,10003,400,,1.0,1,329000
39A Gramercy Park North #4A,10010,400,0.0,1.0,1,330000
235 East 22nd Street #15O,10010,725,1.0,1.0,1,599000
200 East 16th Street #2F,10003,550,0.0,1.0,1,455000
105 East 16th Street #3N,10003,1650,2.0,1.0,1,1375000
200 East 16th Street #2L,10003,750,1.0,1.0,1,625000
235 East 22nd Street #7H,10010,950,1.0,1.0,1,795000
235 East 22nd #5B,10010,500,,1.0,1,420000
379 First Avenue #4,10010,600,1.0,1.0,1,475000
235 East 22nd Street #13O,10010,800,1.0,1.0,1,675000
235 East 22nd Street #14Q,10010,550,0.0,1.0,1,465000
310 East 23rd Street #8J,10010,590,1.0,1.0,1,499000
235 East 22nd Street ,10010,400,,1.0,1,339000
26 Gramercy Park South #2C,10003,500,1.0,1.0,1,425000
312 East 22nd Street #4A,10010,1104,1.0,1.0,1,895000
200 East 16th Street #7K,10003,700,1.0,1.0,1,597000
200 East 16th Street #16K,10003,700,1.0,1.0,1,599000
200 East 16th Street #3F,10003,500,0.0,1.0,1,429000
200 East 16th Street #3M,10003,500,,1.0,1,429000
200 East 16th Street #7L,10003,775,1.0,1.0,1,665000
137 E. 18th Street ,10003,2960,5.0,0.0,1,3150000
295 Third Avenue #2B,10010,600,1.0,1.0,1,600000
112 East 19th Street #3R,10003,1950,2.0,2.0,1,1695000
242 East 19th Street #4D,10003,850,1.0,1.0,1,739000
242 East 19th Street #14E,10003,850,1.0,1.0,1,739000
310 East 23rd Street #3D,10010,1150,2.0,2.0,1,999999
205 East 16th Street ,10003,2239,2.0,4.0,1,1950000
235 East 22nd #6L,10010,975,1.0,1.0,1,850000
112 East 19th Street #4R,10003,1950,3.0,2.0,1,1700000
81 Irving Place #10F,10003,400,0.0,1.0,1,350000
200 East 16th Street #3AB,10003,1250,2.0,2.0,1,1100000
206 E. 20th Street ,10003,3400,5.0,0.0,1,3000000
200 East 16th Street #2H,10003,775,1.0,1.0,1,685000
305 Second Avenue #707,10003,993,1.0,1.0,1,975000
60 Gramercy Park North #3F,10010,900,1.0,1.0,1,799000
200 East 16th Street #4C,10003,450,0.0,1.0,1,400000
130 East 17th Street #2B,10003,700,1.0,1.0,1,625000
200 East 16th Street #5K,10003,700,1.0,1.0,1,625000
133 East 15th Street #3D,10003,700,1.0,1.0,1,625000
200 East 16th Street #4K,10003,700,1.0,1.0,1,625000
200 East 16th Street #13M,10003,500,0.0,1.0,1,449000
26 Gramercy Park South #5H,10003,500,1.0,1.0,1,449000
126 East 16th Street #1A,10003,1000,1.0,2.0,1,899000
200 East 16th Street #5F,10003,550,0.0,1.0,1,495000
242 East 19th Street #4E,10003,750,1.0,1.0,1,675000
200 East 16th Street #7F,10003,500,0.0,1.0,1,450000
200 East 16th Street #14K,10003,700,1.0,1.0,1,630000
200 East 16th Street #5H,10003,750,1.0,1.0,1,675000
295 Third Avenue #2B,10010,691,1.0,1.0,1,625000
105 East 16th Street #4S,10003,1650,2.0,2.0,1,1495000
318 Second Avenue #PH5,10003,1100,2.0,1.0,1,999000
205 East 16th Street #4D,10003,2195,3.0,3.0,1,1995000
235 East 22nd Street #6F,10010,950,1.0,1.0,1,865000
60 Gramercy Park North #3CD,10010,1964,4.0,2.0,1,1795000
318 Second Avenue #1-2,10003,2400,3.0,3.0,1,2195000
235 East 22nd Street #10T,10010,820,1.0,1.0,1,750000
235 East 22nd Street #12S,10010,750,1.0,1.0,1,689000
302 East 19th Street #1A,10003,579,1.0,1.0,1,649000
347 East 19th Street TOWNHOUSE,10003,4000,7.0,4.0,1,3690000
105 East 15th Street #83,10003,818,1.0,2.0,1,755000
235 East 22nd Street #4G,10010,1000,1.0,1.0,1,925000
200 East 16th Street #4H,10003,750,1.0,1.0,1,695000
240-42 East 15th Street #1,10003,1625,3.0,2.0,1,1506250
237 East 17th Street #210,10003,700,1.0,1.0,1,649000
130 East 17th Street #2A,10003,625,1.0,1.0,1,580000
205 East 16th Street #3D,10003,1614,2.0,2.0,1,1500000
222 E 17th Street #1,10003,1500,3.0,2.0,1,1395000
200 East 16th Street #9D,10003,740,1.0,1.0,1,689000
200 East 16th Street #16L,10003,750,1.0,1.0,1,699000
200 East 16th Street #7L,10003,750,1.0,1.0,1,699000
205 East 16th Street #6B,10003,1766,1.0,2.0,1,1650000
128 East 16th Street #3A,10010,1600,2.0,2.0,1,1495000
205 East 22nd Street #5H,10010,855,1.0,1.0,1,800000
205 East 22nd Street #5H,10010,855,1.0,1.0,1,800000
102 East 22nd Street #3D,10010,625,1.0,1.0,1,585000
235 East 22nd Street #10K,10010,800,1.0,1.0,1,749000
131 East 15th Street #5N,10003,800,2.0,2.0,1,749000
336 E. 19th Street ,10003,4000,,,1,3750000
200 E 16th Street #16F,10003,500,0.0,1.0,1,470000
242 East 19th Street #7B,10003,1250,2.0,1.0,1,1175000
310 East 23rd Street #2A,10010,950,2.0,1.0,1,895000
81 Irving Place ,10003,525,,1.0,1,495000
60 Gramercy Park North #7F,10010,900,1.0,1.0,1,849000
235 East 22nd Street #14H,10010,900,1.0,1.0,1,849900
205 East 16th Street #2D,10003,2111,3.0,2.0,1,1995000
295 Third Avenue #3B,10010,600,1.0,1.0,1,645000
200 East 16th Street #6L,10003,775,1.0,1.0,1,735000
235 East 22nd Street #10K,10010,800,1.0,1.0,1,759000
200 East 16th Street #16F,10003,500,0.0,1.0,1,475000
26 Gramercy Park South #5F,10003,500,1.0,1.0,1,475000
312 East 22nd Street #3B,10010,891,1.0,2.0,1,850000
235 East 22nd Street #16J,10010,1300,2.0,2.0,1,1245000
102 East 22nd Street #4F,10010,600,1.0,1.0,1,575000
132 East 19th Street #6F,10003,1200,2.0,1.0,1,1150000
200 East 16th Street #8DE,10003,1200,2.0,2.0,1,1150000
237 East 17th Street #220,10003,700,1.0,1.0,1,675000
295 Third Avenue #3A,10010,776,2.0,1.0,1,749000
235 East 22nd Street #12S,10010,750,1.0,1.0,1,725000
235 East 22nd Street #6T,10010,750,1.0,1.0,1,725000
45 Gramercy Park North ,10010,800,1.0,1.0,1,775000
105 East 19th Street #5D,10003,950,1.0,2.0,1,925000
224 East 17th Street #4F,10003,543,0.0,1.0,1,529000
205 East 16th Street #3E,10003,988,1.0,1.0,1,968240
240-42 East 15th Street #8,10003,559,1.0,1.0,1,549000
205 East 16th Street #1D,10003,2536,4.0,3.0,1,2495000
102 East 22nd Street #5I,10010,700,1.0,1.0,1,689000
347 E. 19th Street ,10003,4000,,,1,3950000
158 East 22nd Street #1,10010,900,1.0,1.0,1,890000
200 East 16th Street #16F,10003,500,,1.0,1,495000
318 Second Avenue #4,10003,1100,2.0,1.0,1,1090000
235 East 22nd Street #15L,10010,1000,1.0,1.0,1,995000
200 East 16th Street #7EM,10003,1100,2.0,2.0,1,1095000
132 East 19th Street #F,10003,1200,2.0,1.0,1,1195000
31 Gramercy Park South #A,10003,300,0.0,1.0,1,299000
205 East 22nd Street #1F,10010,1388,2.0,2.0,1,1795000
137 East 15th Street #GRDN,10003,1800,2.0,2.0,1,1795000
117 East 18th Street #45,10003,2200,3.0,2.0,1,2195000
235 East 22nd Street #7N,10010,450,0.0,1.0,1,449000
235 East 22nd Street #5IJ,10010,2400,4.0,3.0,1,2395000
200 East 16th Street #9K,10003,700,1.0,1.0,1,699000
26 Gramercy Park South #7F,10003,1000,2.0,2.0,1,999000
237 East 17th #210,10003,700,1.0,1.0,1,699900
44 Gramercy Park North #7D,10010,850,1.0,1.0,1,850000
200 East 16th Street #12M,10003,535,0.0,1.0,1,535000
310 East 23rd Street #9D,10010,550,0.0,1.0,1,550000
60 Gramercy Park North #9K,10010,1100,2.0,1.0,1,1100000
200 East 16th Street #10F,10003,500,0.0,1.0,1,500000
242 East 19th Street #12F,10003,1250,2.0,1.0,1,1250000
295 Third Avenue #2A,10010,600,1.0,1.0,1,775000
133 East 15th Street #3D,10003,700,1.0,1.0,1,705000
305 Second Avenue #510,10003,862,1.0,1.0,1,1195000
205 East 16th Street ,10003,1279,,1.0,1,895000
48 Gramercy Park North #1A,10010,420,0.0,1.0,1,429000
105 East 16th Street #3N,10003,1850,2.0,2.0,1,1900000
105 E 15th Street #23,10003,550,1.0,1.0,1,565000
237 East 17th Street #210,10003,700,1.0,1.0,1,720000
242 East 19th Street #2D,10003,850,1.0,1.0,1,875000
305 Second Avenue #330,10003,619,0.0,1.0,1,640000
200 East 16th Street #8C,10003,500,0.0,1.0,1,519000
205 East 22nd Street #2G,10010,866,1.0,1.0,1,900000
210 East 17th Street #5B,10003,600,2.0,1.0,1,625000
318 2nd Avenue #4,10003,1100,2.0,1.0,1,1150000
102 East 22nd Street #7AB,10010,1050,2.0,2.0,1,1100000
102 East 22nd Street #7AB,10010,1050,2.0,2.0,1,1100000
26 Gramercy Park South #8G,10003,500,1.0,1.0,1,525000
205 East 16th Street #4F,10003,1120,1.0,2.0,1,1176000
317 East 18th Street #2E,10003,300,0.0,1.0,1,315000
205 East 16th Street ,10003,911,1.0,1.0,1,956550
60 Gramercy Park North #12L,10010,870,1.0,1.0,1,915000
205 East 22nd Street #PHJ,10010,1520,2.0,2.0,1,1600000
134 East 16th Street #3,10003,650,1.0,1.0,1,685000
112 East 19th Street #5F,10003,1800,2.0,2.0,1,1899000
44 Gramercy Park North #3D,10010,900,1.0,1.0,1,950000
242 East 19th Street #8DE,10003,1700,3.0,2.0,1,1795000
102 East 22nd Street #9H,10010,838,2.0,1.0,1,885000
44 Gramercy Park North #1C,10010,875,1.0,1.0,1,925000
130 East 19th Street - Apt: 3 ,10003,1200,2.0,2.0,1,1270000
205 East 16th Street ,10003,1322,1.0,1.0,1,1400000
126 East 16th Street #3B,10003,1600,2.0,2.0,1,1695000
242 East 19th Street #10A,10003,1250,2.0,2.0,1,1325000
131 East 15th Street #4C,10003,466,1.0,1.0,1,495000
242 East 19th Street #15H,10003,800,1.0,1.0,1,850000
200 East 16th Street #18E,10003,800,1.0,1.0,1,850000
105 East 16th Street #8FLR,10003,4000,5.0,4.0,1,4250000
222 East 18th Street ,10003,4940,,0.0,1,5250000
312 East 22nd Street #1A,10010,658,1.0,1.0,1,699500
240 East 15th Street #2,10003,730,1.0,1.0,1,779000
207 East 21st Street #6F,10010,725,1.0,1.0,1,775000
207 East 21st Street #PH6F,10010,725,2.0,1.0,1,775000
81 Irving Place ,10003,500,0.0,1.0,1,535000
151 East 20th Street ,10010,326,,1.0,1,379000
305 Second Avenue #710,10003,872,1.0,1.0,1,1095000
Gramercy Area ,10003,1778,3.0,2.0,1,1995000
200 East 16th Street #9G,10003,500,0.0,1.0,1,545000
224 East 17th Street #5R,10003,475,0.0,1.0,1,520000
45 Gramercy Park #2C,10010,800,1.0,1.0,1,879000
26 Gramercy Park South ,10003,48234,1.0,1.0,1,550000
305 Second Avenue #308,10003,1322,1.0,2.0,1,1500000
207 East 21st Street #PH6F,10010,725,2.0,1.0,1,799000
310 East 18th Street ,10003,5048,4.0,4.0,1,5650000
235 East 22nd Street #9J,10010,1350,2.0,2.0,1,1500000
131 East 15th Street #3C,10003,450,1.0,1.0,1,500000
60 Gramercy Park North #17G,10010,800,1.0,1.0,1,889000
305 Second Avenue #324,10003,1223,1.0,2.0,1,1595000
305 Second Avenue #522,10003,910,1.0,2.0,1,1475000
205 East 16th Street #2C,10003,1787,2.0,2.0,1,1995000
130 East 17th Street #3A,10003,600,1.0,1.0,1,670000
305 Second Avenue #310,10003,884,1.0,1.0,1,1095000
353 East 19th Street ,10003,4000,,,1,4495000
102 E 22nd Street #4F,10010,600,1.0,1.0,1,675000
305 Second Avenue #340,10003,1275,1.0,1.0,1,1200000
295 Third Avenue #3B,10010,600,0.0,1.0,1,775000
210 East 21st Street #4C,10010,350,0.0,1.0,1,399000
112 East 19th Street 7R ,10003,1950,3.0,2.0,1,2225000
81 Irving Place #11D,10003,700,1.0,1.0,1,799000
81 Irving Place #9H,10003,525,0.0,1.0,1,600000
200 East 16th Street #11L,10003,1000,2.0,1.0,1,1145000
305 Second Avenue #503,10003,702,1.0,1.0,1,1195000
305 Second Avenue #528,10003,1642,3.0,2.0,1,1899000
305 Second Avenue #528,10003,1252,3.0,2.0,1,1899000
236 East 19th Street ,10003,3880,5.0,3.0,1,4995000
256 Third Avenue #HOUSE,10010,4729,,,1,5500000
112 East 19th Street #3F,10003,1800,2.0,2.0,1,2095000
305 Second Avenue #711,10003,1124,1.0,2.0,1,1450000
102 East 22nd Street #6D,10010,510,1.0,1.0,1,595000
305 Second Avenue #307,10003,1276,1.0,2.0,1,1495000
60 Gramercy Park North #8F,10010,850,1.0,1.0,1,999000
44 Gramercy Park North #3D,10010,900,1.0,1.0,1,1059000
305 Second Avenue #520,10003,843,1.0,1.0,1,1450000
126 East 16th Street #3A,10003,1600,2.0,2.0,1,1895000
205 East 22nd Street #3B,10010,900,1.0,1.0,1,950000
305 Second Avenue #528,10003,1642,3.0,2.0,1,1950000
60 Gramercy Park North #5LM,10010,1850,3.0,2.0,1,2200000
81 Irving Place #9H,10003,525,0.0,1.0,1,625000
143 East 18th Street ,10003,4192,5.0,3.0,1,5000000
112 East 19th Street #3F,10003,1800,3.0,2.0,1,2150000
112 East 19th Street #6F,10003,1800,3.0,1.0,1,2150000
224 East 17th Street #4F,10003,543,0.0,1.0,1,650000
205 East 16th Street #2D,10003,2111,3.0,2.0,1,2535000
34 Gramercy Park East #MBF,10003,1150,1.0,1.0,1,1385000
302 East 19th Street #3B,10003,665,1.0,2.0,1,849000
205 East 16th Street #6E,10003,879,1.0,1.0,1,1070000
60 Gramercy Park North #4F,10010,800,1.0,1.0,1,975000
305 Second Avenue #502,10003,851,1.0,1.0,1,1095000
44 Gramercy Park North #8D,10010,950,1.0,1.0,1,1160000
312 East 18th Street ,10003,2800,,,1,4295000
312 East 22nd Street #2B,10010,1540,2.0,2.0,1,1890000
205 East 22nd Street #6H,10010,855,1.0,1.0,1,1050000
81 Irving Place #8D,10003,650,1.0,1.0,1,799000
151 East 20th Street #5E,10010,315,0.0,1.0,1,399900
305 Second Avenue #320,10003,1174,1.0,2.0,1,1450000
112 East 19th Street #5F,10003,1800,2.0,2.0,1,2225000
148 East 19th Street #2D,10003,414,0.0,1.0,1,514500
205 East 16th Street #4F,10003,1120,2.0,2.0,1,1395000
60 Gramercy Park North #5CD,10010,2000,4.0,2.0,1,2495000
151 East 20th Street #2E,10003,400,0.0,1.0,1,499000
205 East 16th Street ,10003,1708,2.0,2.0,1,1800000
81 Irving Place #2ABH,10003,1600,3.0,3.0,1,1999000
45 Gramercy Park North #34D,10010,1600,3.0,2.0,1,2000000
316 East 22nd Street #PH1,10010,1777,2.0,2.0,1,2225000
205 East 16th Street #5P,10003,2026,2.0,2.0,1,2550000
316 East 22nd Street #4,10010,2415,3.0,2.0,1,3050000
305 Second Avenue #312,10003,1322,1.0,2.0,1,1525000
81 Irving Place #6B,10003,650,1.0,1.0,1,825000
81 Irving Place #6B,10003,650,1.0,1.0,1,825000
305 Second Avenue #532,10003,1560,3.0,2.0,1,1995000
305 Second Avenue #532,10003,1087,3.0,2.0,1,1995000
117 East 18th Street #2,10003,1617,3.0,2.0,1,2399000
305 Second Avenue #723,10003,906,2.0,1.0,1,1495000
112 East 19th Street #8F,10003,1950,2.0,2.0,1,2500000
222 East 18th Street ,10003,4940,10.0,0.0,1,6350000
305 Second Avenue #306,10003,1238,1.0,2.0,1,1595000
305 Second Avenue #302,10003,1176,1.0,2.0,1,1525000
316 East 22nd Street #5,10010,2415,3.0,2.0,1,3125000
148 East 19th Street #2A,10003,587,1.0,1.0,1,761250
305 Second Avenue #722,10003,1110,2.0,2.0,1,1795000
205 East 22nd Street #1C,10010,1416,2.0,1.0,1,1850000
105 East 15th #78,10003,250,0.0,1.0,1,325000
148 East 19th Street #2C,10003,561,1.0,1.0,1,729750
200 East 16th Street #17E,10003,690,1.0,1.0,1,899000
105 East 16th Street #PH,10003,1300,1.0,1.0,1,1695000
305 Second Avenue #703,10003,717,1.0,1.0,1,1350000
305 Second Avenue #504,10003,1105,1.0,1.0,1,1450000
105 East 16th Street #5,10003,4000,3.0,2.0,1,5250000
305 Second Avenue #345,10003,1308,2.0,1.0,1,1650000
305 Second Avenue #332,10003,859,1.0,1.0,1,1250000
305 Second Avenue #511,10003,1089,1.0,2.0,1,1595000
310 East 15th Street #3B,10003,2081,3.0,3.0,1,2750000
205 East 22nd Street #4EF,10010,1797,2.0,2.0,1,2395000
305 Second Avenue #508,10003,618,1.0,1.0,1,1150000
305 Second Avenue #530,10003,810,2.0,1.0,1,1450000
305 Second Avenue #728,10003,721,1.0,1.0,1,1350000
305 Second Avenue #716,10003,1625,2.0,2.0,1,2195000
